,ï»¿X,Y,OBJECTID,IDPTOVENTA,Municipio,Provincia,CÃ³digo_Po,DirecciÃ³n,Latitud,Longitud
0,-3.481400000309748,40.53526999971074,2621,FB_0289DF,Ajalvir,MADRID,28864,"CL LA FUENTE, 4",40.535270000000004,-3.4814
1,-3.7963300002292617,40.010929999719735,2622,FB_029B23,Alameda de la Sagra,TOLEDO,45240,"CL CHARCAS, 6",40.01093,-3.79633
2,-3.687439999656192,40.921980000276854,2623,FB_03974B,Alameda del Valle,MADRID,28749,"CL NUEVA, 6",40.92198,-3.68744
3,-3.98873000008939,40.23158999967881,2624,FB_028A48,"Ãlamo, El",MADRID,28607,CL SOLEDAD 8,40.231590000000004,-3.9887300000000003
4,-3.0127000004046636,40.30803999984619,2625,FB_038EDA,Albares,GUADALAJARA,19112,"CL SAN SEBASTIAN, 5",40.308040000000005,-3.0127
5,-3.374049999707665,40.48904999965783,2626,FB_0356A6,AlcalÃ¡ de Henares,MADRID,28801,"CL TORRELAGUNA, 22 (KIOSCO)",40.48905,-3.37405
6,-3.3667199998280917,40.482149999822695,2627,FB_03825F,AlcalÃ¡ de Henares,MADRID,28801,"CL MAYOR, 37",40.48215,-3.3667199999999995
7,-3.364749999812602,40.48331000025638,2628,FB_038473,AlcalÃ¡ de Henares,MADRID,28801,"PL CERVANTES, 29",40.483309999999996,-3.36475
8,-3.3677000000549238,40.48171999977819,2629,FB_039322,AlcalÃ¡ de Henares,MADRID,28801,"CL MAYOR, 90",40.48172,-3.3677
9,-3.365609999901551,40.482949999842674,2630,FB_033EEE,AlcalÃ¡ de Henares,MADRID,28801,"CL CERVANTES, 1",40.48295,-3.3656099999999998
10,-3.3801800000069315,40.475189999918605,2631,FB_037D82,AlcalÃ¡ de Henares,MADRID,28802,"CL SAN ASTURIO SERRANO, 11",40.475190000000005,-3.38018
11,-3.378410000221265,40.47375999962434,2632,FB_034C03,AlcalÃ¡ de Henares,MADRID,28802,"AV REYES CATOLICOS, 42",40.47376,-3.3784099999999997
12,-3.378530000359206,40.47383999971629,2633,FB_0351C8,AlcalÃ¡ de Henares,MADRID,28802,"AVDA. REYES CAT?LICOS, 46",40.47384,-3.3785300000000005
13,-3.377349999902549,40.47689999963535,2634,FB_03367F,AlcalÃ¡ de Henares,MADRID,28802,"CL SAN FRUCTUOSO, 12",40.4769,-3.37735
14,-3.383830000154319,40.47633999989113,2635,FB_038E65,AlcalÃ¡ de Henares,MADRID,28802,"CL NTRA. SRA DE BELEN, 28",40.47634,-3.38383
15,-3.3647200002278055,40.46991999970828,2636,FB_038B03,AlcalÃ¡ de Henares,MADRID,28803,"CL ENTREPE?AS,S/N LOC-130",40.46992,-3.3647199999999997
16,-3.363260000348703,40.469810000031536,2637,FB_035694,AlcalÃ¡ de Henares,MADRID,28803,"CL ENTREPE?AS, 4 LOCAL 111",40.469809999999995,-3.36326
17,-3.3728799997121537,40.478089999653825,2638,FB_037E7E,AlcalÃ¡ de Henares,MADRID,28803,"AV REYES CATOLICOS, 3",40.47809,-3.3728800000000003
18,-3.364549999582778,40.473380000087,2639,FB_038DE9,AlcalÃ¡ de Henares,MADRID,28803,"CL RIO MANZANARES, 2",40.47338,-3.36455
19,-3.3725000001747967,40.47215999958439,2640,FB_03674E,AlcalÃ¡ de Henares,MADRID,28803,"CL SAN VIDAL, 30",40.472159999999995,-3.3725
